shot_id,episode,scene_id,beat,start_time_sec,duration_sec,location_id,location_name,characters,action,dialogue,emotion,shot_type,camera,movement,composition,props,wardrobe,lighting,style_keywords,continuity_notes,storyboard_prompt,video_prompt,negative_prompt,seed,reference_pack,output_type,output_path,priority
S0001,1,SC01,hook,0,2,L1,青岚宗外门院,C1|C2,C2冷笑逼近,……,羞辱,MCU,eye-level,static,diagonal,,C1:dark-blue hanfu; C2:black robe silver pattern,daylight,cinematic|realistic|ancient|9:16,C1半束发髻+深蓝常驻道袍+玉坠一致; C2黑衣银纹+高发髻+银剑穗一致,"Vertical 9:16, cinematic realistic live-action ancient xianxia, 青岚宗外门院, daylight, characters C1|C2, C2冷笑逼近, emotion 羞辱. no modern text",,blurry|lowres|deformed hands|extra fingers|text|watermark|logo|bad anatomy,100002,refpacks/C1;refpacks/C2,storyboard,episodes/ep0001/storyboard/S0001.png,mid
S0002,1,SC01,hook,2,3,L1,青岚宗外门院,C1|C2,众人围观，压力逼近,……,压迫,WS,eye-level,static,diagonal,,C1:dark-blue hanfu; C2:black robe silver pattern,daylight,cinematic|realistic|ancient|9:16,C1半束发髻+深蓝常驻道袍+玉坠一致; C2黑衣银纹+高发髻+银剑穗一致,"Vertical 9:16, cinematic realistic live-action ancient xianxia, 青岚宗外门院, daylight, characters C1|C2, 众人围观，压力逼近, emotion 压迫. no modern text",,blurry|lowres|deformed hands|extra fingers|text|watermark|logo|bad anatomy,100003,refpacks/C1;refpacks/C2,storyboard,episodes/ep0001/storyboard/S0002.png,mid
S0003,1,SC01,hook,5,4,L1,青岚宗外门院,C1|C2,人群窃笑切镜,……,压迫,MCU,eye-level,static,rule-of-thirds,,C1:dark-blue hanfu; C2:black robe silver pattern,daylight,cinematic|realistic|ancient|9:16,C1半束发髻+深蓝常驻道袍+玉坠一致; C2黑衣银纹+高发髻+银剑穗一致,"Vertical 9:16, cinematic realistic live-action ancient xianxia, 青岚宗外门院, daylight, characters C1|C2, 人群窃笑切镜, emotion 压迫. no modern text",,blurry|lowres|deformed hands|extra fingers|text|watermark|logo|bad anatomy,100004,refpacks/C1;refpacks/C2,storyboard,episodes/ep0001/storyboard/S0003.png,mid
S0004,1,SC01,hook,9,2,L1,青岚宗外门院,C1|C2,人群窃笑切镜,我只求考核资格。,压迫,CU,eye-level,slow push-in,over-shoulder,,C1:dark-blue hanfu; C2:black robe silver pattern,daylight,cinematic|realistic|ancient|9:16,C1半束发髻+深蓝常驻道袍+玉坠一致; C2黑衣银纹+高发髻+银剑穗一致,"Vertical 9:16, cinematic realistic live-action ancient xianxia, 青岚宗外门院, daylight, characters C1|C2, 人群窃笑切镜, emotion 压迫. no modern text",,blurry|lowres|deformed hands|extra fingers|text|watermark|logo|bad anatomy,100005,refpacks/C1;refpacks/C2,storyboard,episodes/ep0001/storyboard/S0004.png,mid
S0005,1,SC01,hook,11,3,L1,青岚宗外门院,C1|C2,木剑落地特写,来，废柴。,愤怒,CU,eye-level,slow push-in,two-shot,wood_sword,C1:dark-blue hanfu; C2:black robe silver pattern,daylight,cinematic|realistic|ancient|9:16,C1半束发髻+深蓝常驻道袍+玉坠一致; C2黑衣银纹+高发髻+银剑穗一致,"Vertical 9:16, cinematic realistic live-action ancient xianxia, 青岚宗外门院, daylight, characters C1|C2, 木剑落地特写, emotion 愤怒. no modern text",,blurry|lowres|deformed hands|extra fingers|text|watermark|logo|bad anatomy,100006,refpacks/C1;refpacks/C2,storyboard,episodes/ep0001/storyboard/S0005.png,mid
S0006,1,SC01,hook,14,2,L1,青岚宗外门院,C1|C2,人群窃笑切镜,示范一下不配。,隐忍,MCU,eye-level,static,over-shoulder,wood_sword,C1:dark-blue hanfu; C2:black robe silver pattern,daylight,cinematic|realistic|ancient|9:16,C1半束发髻+深蓝常驻道袍+玉坠一致; C2黑衣银纹+高发髻+银剑穗一致,"Vertical 9:16, cinematic realistic live-action ancient xianxia, 青岚宗外门院, daylight, characters C1|C2, 人群窃笑切镜, emotion 隐忍. no modern text",,blurry|lowres|deformed hands|extra fingers|text|watermark|logo|bad anatomy,100007,refpacks/C1;refpacks/C2,storyboard,episodes/ep0001/storyboard/S0006.png,mid
S0007,1,SC01,hook,16,4,L1,青岚宗外门院,C1|C2,众人围观，压力逼近,资格？,压迫,WS,eye-level,static,diagonal,C1_jade_pendant,C1:dark-blue hanfu; C2:black robe silver pattern,daylight,cinematic|realistic|ancient|9:16,C1半束发髻+深蓝常驻道袍+玉坠一致; C2黑衣银纹+高发髻+银剑穗一致,"Vertical 9:16, cinematic realistic live-action ancient xianxia, 青岚宗外门院, daylight, characters C1|C2, 众人围观，压力逼近, emotion 压迫. no modern text",,blurry|lowres|deformed hands|extra fingers|text|watermark|logo|bad anatomy,100008,refpacks/C1;refpacks/C2,storyboard,episodes/ep0001/storyboard/S0007.png,mid
S0008,1,SC01,hook,20,2,L1,青岚宗外门院,C1|C2,木剑落地特写,我只求考核资格。,压迫,CU,eye-level,slow push-in,diagonal,wood_sword,C1:dark-blue hanfu; C2:black robe silver pattern,daylight,cinematic|realistic|ancient|9:16,C1半束发髻+深蓝常驻道袍+玉坠一致; C2黑衣银纹+高发髻+银剑穗一致,"Vertical 9:16, cinematic realistic live-action ancient xianxia, 青岚宗外门院, daylight, characters C1|C2, 木剑落地特写, emotion 压迫. no modern text",,blurry|lowres|deformed hands|extra fingers|text|watermark|logo|bad anatomy,100009,refpacks/C1;refpacks/C2,storyboard,episodes/ep0001/storyboard/S0008.png,mid
S0009,1,SC01,hook,22,2,L1,青岚宗外门院,C1|C2,C2冷笑逼近,示范一下不配。,压迫,MS,eye-level,handheld slight,rule-of-thirds,wood_sword,C1:dark-blue hanfu; C2:black robe silver pattern,daylight,cinematic|realistic|ancient|9:16,C1半束发髻+深蓝常驻道袍+玉坠一致; C2黑衣银纹+高发髻+银剑穗一致,"Vertical 9:16, cinematic realistic live-action ancient xianxia, 青岚宗外门院, daylight, characters C1|C2, C2冷笑逼近, emotion 压迫. no modern text",,blurry|lowres|deformed hands|extra fingers|text|watermark|logo|bad anatomy,100010,refpacks/C1;refpacks/C2,storyboard,episodes/ep0001/storyboard/S0009.png,mid
S0010,1,SC01,hook,24,2,L1,青岚宗外门院,C1|C2,众人围观，压力逼近,示范一下不配。,压迫,WS,eye-level,slow push-in,two-shot,wood_sword,C1:dark-blue hanfu; C2:black robe silver pattern,daylight,cinematic|realistic|ancient|9:16,C1半束发髻+深蓝常驻道袍+玉坠一致; C2黑衣银纹+高发髻+银剑穗一致,"Vertical 9:16, cinematic realistic live-action ancient xianxia, 青岚宗外门院, daylight, characters C1|C2, 众人围观，压力逼近, emotion 压迫. no modern text",,blurry|lowres|deformed hands|extra fingers|text|watermark|logo|bad anatomy,100011,refpacks/C1;refpacks/C2,storyboard,episodes/ep0001/storyboard/S0010.png,mid
